layer	p	coverage	cumulative_entropy	accuracy	precision	recall	num_steps	lr	momentum
conv	0.3021	0.1188	41.6474	0.9929	0.9929	0.9928	30310	0.0100	0.9000
none	0.0000	0.0000	41.3226	0.9928	0.9928	0.9927	4110	0.0100	0.9000
none	0.0000	0.0000	41.6386	0.9925	0.9924	0.9924	4010	0.0100	0.9000
none	0.0000	0.0000	41.5433	0.9925	0.9924	0.9924	5210	0.0100	0.9000
conv1	0.1351	0.0773	42.0929	0.9921	0.9920	0.9920	40810	0.0100	0.9000
none	0.0000	0.0000	41.4855	0.9921	0.9921	0.9919	5710	0.0100	0.9000
conv1	0.1151	0.1086	41.3929	0.9919	0.9919	0.9918	37610	0.0100	0.9000
none	0.0000	0.0000	41.8142	0.9918	0.9918	0.9917	7010	0.0100	0.9000
none	0.0000	0.0000	41.4064	0.9915	0.9915	0.9913	2910	0.0100	0.9000
none	0.0000	0.0000	41.4022	0.9914	0.9913	0.9912	4210	0.0100	0.9000
none	0.0000	0.0000	41.8823	0.9913	0.9913	0.9911	5610	0.0100	0.9000
none	0.0000	0.0000	41.5527	0.9907	0.9907	0.9906	25410	0.0100	0.9000
none	0.0000	0.0000	41.6141	0.9902	0.9902	0.9900	4410	0.0100	0.9000
conv1	0.2710	0.1115		0.9900	0.9900	0.9900	63	0.0100	0.5000
conv1	0.2945	0.1093		0.9896	0.9896	0.9895	49	0.0100	0.5000
conv1	0.0980	0.1826	41.1812	0.9896	0.9895	0.9895	17710	0.0100	0.9000
conv1	0.3989	0.1055		0.9894	0.9894	0.9893	26	0.0100	0.5000
conv2	0.3035	0.0513	41.1685	0.9892	0.9891	0.9890	38710	0.0100	0.9000
conv1	0.1207	0.0747	39.7842	0.9892	0.9891	0.9891	28110	0.0100	0.9000
conv1	0.2952	0.1026		0.9891	0.9891	0.9890	30	0.0100	0.5000
