layer	layer_modifier	p	coverage	cumulative_entropy	mse	mae	num_steps	lr	momentum
none	none	0.0000	0.0000	35.8117	0.2180	0.4051	205010	0.0500	0.7500
none	none	0.0000	0.0000	35.8514	0.2184	0.4060	25010	0.0500	0.7500
none	none	0.0000	0.0000	35.8025	0.2215	0.4125	44510	0.0500	0.7500
none	none	0.0000	0.0000	35.8522	0.2241	0.4174	16610	0.0500	0.7500
none	none	0.0000	0.0000	35.8502	0.2253	0.4231	19410	0.0500	0.7500
none	none	0.0000	0.0000	35.8498	0.2290	0.4254	17010	0.0500	0.7500
none	none	0.0000	0.0000	35.9676	0.2487	0.4893	15310	0.0500	0.7500
lstm1	output	0.1044	0.3409	16.8960	0.2531	0.5242	35610	0.0500	0.7500
none	none	0.0000	0.0000	36.1042	0.2534	0.4769	26510	0.0500	0.7500
lstm1	output	0.1024	0.3099	24.5172	0.2558	0.5357	24510	0.0500	0.7500
lstm1	output	0.0816	0.2960	24.4953	0.2566	0.5365	17110	0.0500	0.7500
lstm1	output	0.1185	0.3110	24.5758	0.2569	0.5380	80610	0.0500	0.7500
lstm1	output	0.0799	0.3067	24.5202	0.2575	0.5394	15910	0.0500	0.7500
lstm1	output	0.0751	0.3111	24.6636	0.2583	0.5410	18810	0.0500	0.7500
none	none	0.0000	0.0000	36.3447	0.2600	0.5032	47610	0.0500	0.7500
lstm1	output	0.0824	0.2988	24.5401	0.2612	0.5597	17610	0.0500	0.7500
lstm1	output	0.1402	0.3221	24.5128	0.2623	0.5499	27110	0.0500	0.7500
lstm1	output	0.1297	0.3391	17.6087	0.2639	0.5438	31010	0.0500	0.7500
lstm1	forget	0.1664	0.2143	19.9086	0.2683	0.5529	22510	0.0500	0.7500
lstm1	output	0.1881	0.3052	24.1184	0.2692	0.5640	128010	0.0500	0.7500
